year,school_kind,estb,region,status,school_code_std,school_name,total_enrolled,special_city_count,special_city_ratio,small_city_etc_count,small_city_etc_ratio,metro_count,metro_ratio,wide_city_count,wide_city_ratio,small_city_count,small_city_ratio,town_special_other_count,town_special_other_ratio,uploaded_at
2026,대학교,사립,충남,기존,0000129,선문대학교,2576,359,13.9,2217,86.1,211,8.19,148,5.75,1504,58.39,713,27.68,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000131,성결대학교,1294,537,41.5,757,58.5,357,27.59,180,13.91,676,52.24,81,6.26,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000132,성공회대학교,593,337,56.8,256,43.2,184,31.03,153,25.8,195,32.88,61,10.29,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000133,성균관대학교,4740,2114,44.6,2626,55.4,1342,28.31,772,16.29,1634,34.47,992,20.93,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000136,성신여자대학교,2472,1053,42.6,1419,57.4,804,32.52,249,10.07,935,37.82,484,19.58,2026-08-05T22:04:39.152Z
2026,대학교,사립,충북,기존,0000137,세명대학교,1599,364,22.8,1235,77.2,232,14.51,132,8.26,955,59.72,280,17.51,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000138,세종대학교,3333,1402,42.1,1931,57.9,1029,30.87,373,11.19,1216,36.48,715,21.45,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,서울,기존,0000325,세종사이버대학교,1390,666,47.9,724,52.1,396,28.49,270,19.42,658,47.34,66,4.75,2026-08-05T22:04:39.152Z
2026,대학교,사립,전남,기존,0000092,세한대학교,809,215,26.6,594,73.4,101,12.48,114,14.09,355,43.88,239,29.55,2026-08-05T22:04:39.152Z
2026,대학교,사립,광주,기존,0000243,송원대학교,676,355,52.5,321,47.5,39,5.77,316,46.75,97,14.35,224,33.14,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000139,수원가톨릭대학교,20,0,0,20,100,0,0,0,0,19,95,1,5,2026-08-05T22:04:39.152Z
2026,대학교,사립,경기,기존,0000140,수원대학교,2249,770,34.2,1479,65.8,469,20.85,301,13.38,1283,57.05,196,8.72,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000141,숙명여자대학교,2664,1158,43.5,1506,56.5,848,31.83,310,11.64,1014,38.06,492,18.47,2026-08-05T22:04:39.152Z
2026,각종학교(대학),사립,충북,기존,0000317,순복음총회신학교,56,30,53.6,26,46.4,18,32.14,12,21.43,17,30.36,9,16.07,2026-08-05T22:04:39.152Z
2026,대학교,사립,충남,기존,0000142,순천향대학교,2801,637,22.7,2164,77.3,259,9.25,378,13.5,1594,56.91,570,20.35,2026-08-05T22:04:39.152Z
2026,대학교,사립,서울,기존,0000143,숭실대학교,3225,1352,41.9,1873,58.1,973,30.17,379,11.75,1416,43.91,457,14.18,2026-08-05T22:04:39.152Z
2026,사이버대학(대학),사립,서울,기존,0000329,숭실사이버대학교,749,350,46.7,399,53.3,232,30.97,118,15.75,251,33.51,148,19.76,2026-08-05T22:04:39.152Z
