year,half,school_kind,estb,school_division,region,status,school_code_std,school_name,student_quota,recruitment_suspension,enrolled_total,enrolled_within,enrolled_outside,fill_rate,fill_rate_within,uploaded_at
2025,상반기,대학교,사립,,서울,기존,0000102,동덕여자대학교,6308,0,6392,5560,832,101.3,88.1,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,부산,기존,0000235,동명대학교,6587,0,6559,5328,1231,99.6,80.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,부산,기존,0000235,동명대학교,6181,0,6761,5499,1262,109.4,89,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,부산,기존,0000103,동서대학교,8637,0,8094,7163,931,93.7,82.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,부산,기존,0000103,동서대학교,8420,0,8582,7599,983,101.9,90.2,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,전남,기존,0000104,동신대학교,6070,0,5405,4728,677,89,77.9,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,전남,기존,0000104,동신대학교,5962,0,5571,4804,767,93.4,80.6,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,부산,기존,0000105,동아대학교,16385,0,16837,15182,1655,102.8,92.7,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,부산,기존,0000105,동아대학교,16486,0,17634,15906,1728,107,96.5,2026-08-07T09:07:29.509Z
2024,하반기,대학교,사립,,경북,기존,0000106,동양대학교,3950,0,3736,3290,446,94.6,83.3,2026-08-07T09:07:29.509Z
2025,상반기,대학교,사립,,경북,기존,0000106,동양대학교,4000,0,4241,3667,574,106,91.7,2026-08-07T09:07:29.509Z
